timestamp,serial,frame,lat,lon,alt,vel_v,vel_h,heading,temp,humidity,pressure,type,freq_mhz,snr,f_error_hz,sats,batt_v,burst_timer,aux_data
2022-01-25T11:02:46Z,LMS6-8182384,1147,37.93047,-75.45658,645.2,4.9,17.2,83.0,-273.0,-1.0,-1.0,LMS6-403,405.885,27.5,0,-1,-1.0,-1,-1
2022-01-25T11:02:47Z,LMS6-8182384,1148,37.93046,-75.45639,650.1,5.1,17.6,93.0,-273.0,-1.0,-1.0,LMS6-403,405.885,27.5,187,-1,-1.0,-1,-1
2022-01-25T11:02:48Z,LMS6-8182384,1149,37.93042,-75.45620,655.7,5.5,16.5,103.4,-273.0,-1.0,-1.0,LMS6-403,405.885,27.0,187,-1,-1.0,-1,-1
2022-01-25T11:02:49Z,LMS6-8182384,1150,37.93038,-75.45606,660.3,4.5,13.8,109.0,-273.0,-1.0,-1.0,LMS6-403,405.885,26.3,187,-1,-1.0,-1,-1
2022-01-25T11:02:50Z,LMS6-8182384,1151,37.93036,-75.45595,665.4,5.1,10.1,108.2,-273.0,-1.0,-1.0,LMS6-403,405.885,26.5,187,-1,-1.0,-1,-1
2022-01-25T11:02:51Z,LMS6-8182384,1152,37.93036,-75.45585,671.5,6.0,8.0,87.2,-273.0,-1.0,-1.0,LMS6-403,405.885,26.5,187,-1,-1.0,-1,-1
2022-01-25T11:02:53Z,LMS6-8182384,1154,37.93042,-75.45559,681.0,5.0,13.8,75.6,-273.0,-1.0,-1.0,LMS6-403,405.885,26.1,0,-1,-1.0,-1,-1
2022-01-25T11:02:54Z,LMS6-8182384,1155,37.93043,-75.45540,687.3,6.3,17.5,84.2,-273.0,-1.0,-1.0,LMS6-403,405.885,27.7,0,-1,-1.0,-1,-1
2022-01-25T11:02:55Z,LMS6-8182384,1156,37.93043,-75.45519,693.3,6.2,18.0,92.8,-273.0,-1.0,-1.0,LMS6-403,405.885,27.7,0,-1,-1.0,-1,-1
2022-01-25T11:02:56Z,LMS6-8182384,1157,37.93041,-75.45502,699.6,6.0,15.3,96.9,-273.0,-1.0,-1.0,LMS6-403,405.885,26.8,187,-1,-1.0,-1,-1
2022-01-25T11:02:57Z,LMS6-8182384,1158,37.93040,-75.45488,704.0,4.6,11.9,93.3,-273.0,-1.0,-1.0,LMS6-403,405.885,26.9,187,-1,-1.0,-1,-1
2022-01-25T11:02:58Z,LMS6-8182384,1159,37.93042,-75.45477,707.3,3.3,9.8,79.9,-273.0,-1.0,-1.0,LMS6-403,405.885,26.9,187,-1,-1.0,-1,-1
2022-01-25T11:02:59Z,LMS6-8182384,1160,37.93045,-75.45467,710.8,3.4,9.4,64.9,-273.0,-1.0,-1.0,LMS6-403,405.885,26.9,187,-1,-1.0,-1,-1
2022-01-25T11:03:00Z,LMS6-8182384,1161,37.93049,-75.45456,716.0,4.6,10.5,65.5,-273.0,-1.0,-1.0,LMS6-403,405.885,27.6,187,-1,-1.0,-1,-1
2022-01-25T11:03:01Z,LMS6-8182384,1162,37.93052,-75.45444,720.6,4.5,11.2,72.4,-273.0,-1.0,-1.0,LMS6-403,405.885,27.6,0,-1,-1.0,-1,-1
2022-01-25T11:03:02Z,LMS6-8182384,1163,37.93053,-75.45432,725.6,5.1,11.1,82.7,-273.0,-1.0,-1.0,LMS6-403,405.885,27.6,0,-1,-1.0,-1,-1
2022-01-25T11:03:03Z,LMS6-8182384,1164,37.93053,-75.45420,731.4,5.6,10.4,94.0,-273.0,-1.0,-1.0,LMS6-403,405.885,27.5,0,-1,-1.0,-1,-1
2022-01-25T11:03:04Z,LMS6-8182384,1165,37.93050,-75.45408,735.9,4.4,10.7,105.2,-273.0,-1.0,-1.0,LMS6-403,405.885,27.5,0,-1,-1.0,-1,-1
2022-01-25T11:03:06Z,LMS6-8182384,1167,37.93041,-75.45380,745.4,5.2,14.6,111.7,-273.0,-1.0,-1.0,LMS6-403,405.885,27.1,0,-1,-1.0,-1,-1
2022-01-25T11:03:07Z,LMS6-8182384,1168,37.93037,-75.45362,750.5,5.0,16.0,106.4,-273.0,-1.0,-1.0,LMS6-403,405.885,27.1,0,-1,-1.0,-1,-1
2022-01-25T11:03:08Z,LMS6-8182384,1169,37.93035,-75.45343,755.2,4.9,17.1,99.5,-273.0,-1.0,-1.0,LMS6-403,405.885,27.1,0,-1,-1.0,-1,-1
2022-01-25T11:03:09Z,LMS6-8182384,1170,37.93034,-75.45324,759.9,4.7,17.5,92.8,-273.0,-1.0,-1.0,LMS6-403,405.885,26.0,0,-1,-1.0,-1,-1
2022-01-25T11:03:10Z,LMS6-8182384,1171,37.93035,-75.45304,765.8,5.9,17.3,86.8,-273.0,-1.0,-1.0,LMS6-403,405.885,26.0,0,-1,-1.0,-1,-1
2022-01-25T11:03:11Z,LMS6-8182384,1172,37.93037,-75.45287,771.6,6.0,15.6,81.3,-273.0,-1.0,-1.0,LMS6-403,405.885,26.1,0,-1,-1.0,-1,-1
2022-01-25T11:03:12Z,LMS6-8182384,1173,37.93040,-75.45272,776.6,5.0,13.1,77.3,-273.0,-1.0,-1.0,LMS6-403,405.885,26.9,0,-1,-1.0,-1,-1
2022-01-25T11:03:13Z,LMS6-8182384,1174,37.93042,-75.45261,782.4,5.5,9.7,76.1,-273.0,-1.0,-1.0,LMS6-403,405.885,27.0,0,-1,-1.0,-1,-1
2022-01-25T11:03:14Z,LMS6-8182384,1175,37.93042,-75.45252,788.8,6.1,7.8,89.2,-273.0,-1.0,-1.0,LMS6-403,405.885,26.2,0,-1,-1.0,-1,-1
2022-01-25T11:03:15Z,LMS6-8182384,1176,37.93040,-75.45242,795.0,6.1,9.4,105.8,-273.0,-1.0,-1.0,LMS6-403,405.885,25.8,0,-1,-1.0,-1,-1
2022-01-25T11:03:16Z,LMS6-8182384,1177,37.93036,-75.45228,799.5,4.6,13.1,109.5,-273.0,-1.0,-1.0,LMS6-403,405.885,25.8,0,-1,-1.0,-1,-1
2022-01-25T11:03:17Z,LMS6-8182384,1178,37.93032,-75.45210,804.4,4.8,17.1,106.5,-273.0,-1.0,-1.0,LMS6-403,405.885,26.8,0,-1,-1.0,-1,-1
2022-01-25T11:03:19Z,LMS6-8182384,1180,37.93029,-75.45169,818.6,7.8,17.2,90.5,-273.0,-1.0,-1.0,LMS6-403,405.885,26.4,0,-1,-1.0,-1,-1
2022-01-25T11:03:20Z,LMS6-8182384,1181,37.93031,-75.45155,826.2,7.4,12.9,83.2,-273.0,-1.0,-1.0,LMS6-403,405.885,26.4,0,-1,-1.0,-1,-1
2022-01-25T11:03:21Z,LMS6-8182384,1182,37.93031,-75.45144,832.4,6.3,8.8,88.7,-273.0,-1.0,-1.0,LMS6-403,405.885,27.1,0,-1,-1.0,-1,-1
2022-01-25T11:03:22Z,LMS6-8182384,1183,37.93028,-75.45134,837.0,4.8,9.1,106.7,-273.0,-1.0,-1.0,LMS6-403,405.885,27.1,0,-1,-1.0,-1,-1
